employee_id	available_date	work_skill	region
1067	8/29/2024	A	1
1134	7/2/2024	A	1
1201	6/3/2024	B	1
1268	10/5/2024	A	1
1335	7/20/2024	B	2
1402	8/29/2024	A	1
1469	6/12/2024	A	2
1536	6/11/2024	A	2
1603	5/6/2024	A	2
1670	9/21/2024	A	2
1737	9/21/2024	A	2
1804	7/10/2024	B	1
1871	9/20/2024	A	2
1938	8/22/2024	A	2
2005	7/31/2024	A	2
2072	6/6/2024	A	1
2139	6/20/2024	A	1
2206	6/30/2024	A	2
2273	8/29/2024	B	2
2340	6/7/2024	A	1
2407	5/7/2024	B	1
2474	9/30/2024	B	1
2541	9/1/2024	A	2
2608	7/27/2024	A	1
2675	5/19/2024	A	2
2742	5/15/2024	A	2
2809	5/17/2024	B	2
2876	6/22/2024	A	1
2943	7/8/2024	B	2
3010	10/13/2024	A	2
3077	8/5/2024	A	1
3144	6/12/2024	A	2
3211	7/31/2024	A	2
3278	6/7/2024	A	1
3345	5/12/2024	B	2
3412	9/14/2024	B	1
3479	7/16/2024	B	2
3546	8/4/2024	A	2
3613	6/15/2024	A	1
3680	5/11/2024	A	2
3747	10/17/2024	B	1
3814	9/6/2024	A	2
3881	5/12/2024	B	1
3948	6/15/2024	B	1
4015	8/16/2024	A	2
4082	10/17/2024	A	1
4149	5/24/2024	A	2
4216	8/12/2024	A	2
4283	4/23/2024	B	2
4350	5/18/2024	B	1
4417	5/8/2024	A	1
4484	7/9/2024	B	1
4551	5/25/2024	A	1
4618	9/8/2024	A	1
4685	5/4/2024	B	1
4752	7/23/2024	B	1
4819	6/3/2024	B	2
4886	4/23/2024	A	1
4953	7/17/2024	B	2
5020	8/27/2024	A	2
5087	8/4/2024	B	1
5154	4/23/2024	A	1
5221	5/2/2024	A	1
5288	7/12/2024	A	2
5355	6/24/2024	B	1
5422	4/23/2024	B	1
5489	8/11/2024	A	2
5556	9/18/2024	B	1
5623	5/14/2024	B	1
5690	5/22/2024	A	1
5757	8/31/2024	B	2
5824	6/17/2024	B	2
5891	9/9/2024	B	1
5958	7/23/2024	A	1
6025	6/1/2024	B	1
6092	8/29/2024	B	1
6159	8/30/2024	B	1
6226	7/25/2024	B	1
6293	7/4/2024	A	1
6360	7/10/2024	B	2
6427	4/24/2024	A	1
6494	7/14/2024	A	2
6561	9/30/2024	A	1
6628	5/6/2024	A	2
6695	10/13/2024	B	2
6762	6/8/2024	A	1
6829	6/8/2024	A	2
6896	4/23/2024	A	1
6963	9/11/2024	A	2
7030	5/21/2024	B	2
7097	9/24/2024	A	1
7164	7/25/2024	B	2
7231	6/22/2024	A	2
7298	6/5/2024	A	2
7365	6/29/2024	A	1
7432	7/15/2024	B	1
7499	5/27/2024	B	1
7566	10/8/2024	B	2
7633	6/24/2024	A	1
7700	4/24/2024	A	2
