position_ID	start_date	work_skill	region
1016	11/23/2024	B	1
1037	12/21/2024	A	1
1033	8/25/2024	A	1
1013	3/25/2025	A	1
1032	1/2/2025	A	1
1028	8/23/2024	B	1
1065	4/1/2025	B	1
1021	11/29/2024	B	1
1020	10/24/2024	A	1
1097	6/5/2024	B	1
1076	3/12/2025	A	1
1001	1/17/2025	A	1
1042	11/15/2024	B	1
1085	3/16/2025	B	1
1060	1/2/2025	B	1
1095	10/8/2024	B	1
1067	5/19/2024	A	1
1061	2/3/2025	A	1
1011	3/5/2025	A	1
1081	5/11/2024	B	1
1023	6/28/2024	A	1
1068	12/12/2024	A	1
1039	5/22/2024	A	1
1044	4/7/2025	B	1
1083	12/6/2024	A	1
1064	9/3/2024	A	1
1084	2/19/2025	B	1
1007	2/7/2025	A	1
1018	1/6/2025	A	1
1024	5/9/2024	A	1
1009	7/2/2024	B	1
1054	8/31/2024	B	1
1047	4/2/2025	B	1
1086	5/26/2024	B	1
1048	11/29/2024	A	1
1045	6/22/2024	A	1
1025	4/12/2025	B	1
1030	7/7/2024	A	1
1078	10/27/2024	B	1
1088	6/7/2024	B	1
1004	10/29/2024	A	1
1029	5/20/2024	B	1
1036	12/4/2024	B	1
1099	9/12/2024	B	1
1090	12/5/2024	A	1
1040	12/19/2024	B	1
1057	12/31/2024	A	1
1100	12/28/2024	B	1
1002	5/14/2024	B	1
1041	6/20/2024	B	1
1056	1/12/2025	A	1
1046	2/26/2025	B	1
1075	1/2/2025	B	1
1015	2/25/2025	A	1
1087	7/23/2024	A	1
1006	12/16/2024	A	1
1017	2/26/2025	B	1
1019	5/14/2024	B	2
1071	7/3/2024	B	2
1079	3/12/2025	B	2
1055	10/20/2024	B	2
1053	12/18/2024	B	2
1072	8/19/2024	B	2
1073	5/28/2024	A	2
1094	5/16/2024	A	2
1058	8/16/2024	B	2
1089	12/20/2024	B	2
1096	6/25/2024	A	2
1080	7/3/2024	B	2
1014	10/2/2024	B	2
1035	1/24/2025	B	2
1091	9/25/2024	A	2
1027	12/27/2024	B	2
1069	1/26/2025	B	2
1003	12/13/2024	B	2
1034	12/6/2024	B	2
1059	6/9/2024	B	2
1026	9/18/2024	B	2
1092	8/23/2024	B	2
1093	2/1/2025	B	2
1066	1/7/2025	A	2
1022	4/17/2025	A	2
1049	6/11/2024	B	2
1012	10/22/2024	B	2
1050	7/10/2024	B	2
1008	6/21/2024	A	2
1082	8/19/2024	B	2
1063	10/2/2024	B	2
1062	4/5/2025	A	2
1038	3/22/2025	A	2
1074	12/21/2024	A	2
1051	10/1/2024	A	2
1005	7/20/2024	A	2
1010	5/24/2024	A	2
1043	6/12/2024	B	2
1052	2/8/2025	B	2
1031	12/7/2024	B	2
1077	7/23/2024	A	2
1098	9/6/2024	B	2
1070	5/5/2024	B	2
