"","employee_id","position_id","value","position_ID","available_date","work_skill_employee","region_employee","start_date","work_skill_position","region_position"
"1",1201,"1097",1,1097,2024-06-03,"B",1,2024-06-05,"B",1
"2",1268,"1020",1,1020,2024-10-05,"A",1,2024-10-24,"A",1
"3",1335,"1052",1,1052,2024-07-20,"B",2,2025-02-08,"B",2
"4",1469,"1008",1,1008,2024-06-12,"A",2,2024-06-21,"A",2
"5",1536,"1049",1,1049,2024-06-11,"A",2,2024-06-11,"B",2
"6",1670,"1063",1,1063,2024-09-21,"A",2,2024-10-02,"B",2
"7",1737,"1014",1,1014,2024-09-21,"A",2,2024-10-02,"B",2
"8",1804,"1017",1,1017,2024-07-10,"B",1,2025-02-26,"B",1
"9",1871,"1051",1,1051,2024-09-20,"A",2,2024-10-01,"A",2
"10",1938,"1092",1,1092,2024-08-22,"A",2,2024-08-23,"B",2
"11",2072,"1056",1,1056,2024-06-06,"A",1,2025-01-12,"A",1
"12",2206,"1071",1,1071,2024-06-30,"A",2,2024-07-03,"B",2
"13",2273,"1093",1,1093,2024-08-29,"B",2,2025-02-01,"B",2
"14",2407,"1081",1,1081,2024-05-07,"B",1,2024-05-11,"B",1
"15",2474,"1078",1,1078,2024-09-30,"B",1,2024-10-27,"B",1
"16",2675,"1067",1,1067,2024-05-19,"A",2,2024-05-19,"A",1
"17",2742,"1094",1,1094,2024-05-15,"A",2,2024-05-16,"A",2
"18",2876,"1045",1,1045,2024-06-22,"A",1,2024-06-22,"A",1
"19",3077,"1033",1,1033,2024-08-05,"A",1,2024-08-25,"A",1
"20",3680,"1073",1,1073,2024-05-11,"A",2,2024-05-28,"A",2
"21",3747,"1042",1,1042,2024-10-17,"B",1,2024-11-15,"B",1
"22",3814,"1098",1,1098,2024-09-06,"A",2,2024-09-06,"B",2
"23",4015,"1082",1,1082,2024-08-16,"A",2,2024-08-19,"B",2
"24",4082,"1004",1,1004,2024-10-17,"A",1,2024-10-29,"A",1
"25",4149,"1010",1,1010,2024-05-24,"A",2,2024-05-24,"A",2
"26",4216,"1058",1,1058,2024-08-12,"A",2,2024-08-16,"B",2
"27",4283,"1027",1,1027,2024-04-23,"B",2,2024-12-27,"B",2
"28",4350,"1029",1,1029,2024-05-18,"B",1,2024-05-20,"B",1
"29",4417,"1024",1,1024,2024-05-08,"A",1,2024-05-09,"A",1
"30",4618,"1006",1,1006,2024-09-08,"A",1,2024-12-16,"A",1
"31",4953,"1089",1,1089,2024-07-17,"B",2,2024-12-20,"B",2
"32",5020,"1032",1,1032,2024-08-27,"A",2,2025-01-02,"A",1
"33",5087,"1028",1,1028,2024-08-04,"B",1,2024-08-23,"B",1
"34",5154,"1068",1,1068,2024-04-23,"A",1,2024-12-12,"A",1
"35",5221,"1007",1,1007,2024-05-02,"A",1,2025-02-07,"A",1
"36",5288,"1077",1,1077,2024-07-12,"A",2,2024-07-23,"A",2
"37",5489,"1072",1,1072,2024-08-11,"A",2,2024-08-19,"B",2
"38",5690,"1039",1,1039,2024-05-22,"A",1,2024-05-22,"A",1
"39",5757,"1026",1,1026,2024-08-31,"B",2,2024-09-18,"B",2
"40",5824,"1080",1,1080,2024-06-17,"B",2,2024-07-03,"B",2
"41",5891,"1099",1,1099,2024-09-09,"B",1,2024-09-12,"B",1
"42",5958,"1087",1,1087,2024-07-23,"A",1,2024-07-23,"A",1
"43",6159,"1054",1,1054,2024-08-30,"B",1,2024-08-31,"B",1
"44",6226,"1021",1,1021,2024-07-25,"B",1,2024-11-29,"B",1
"45",6293,"1030",1,1030,2024-07-04,"A",1,2024-07-07,"A",1
"46",6360,"1050",1,1050,2024-07-10,"B",2,2024-07-10,"B",2
"47",6427,"1011",1,1011,2024-04-24,"A",1,2025-03-05,"A",1
"48",6494,"1005",1,1005,2024-07-14,"A",2,2024-07-20,"A",2
"49",6695,"1012",1,1012,2024-10-13,"B",2,2024-10-22,"B",2
"50",6963,"1091",1,1091,2024-09-11,"A",2,2024-09-25,"A",2
"51",7030,"1053",1,1053,2024-05-21,"B",2,2024-12-18,"B",2
"52",7164,"1079",1,1079,2024-07-25,"B",2,2025-03-12,"B",2
"53",7231,"1096",1,1096,2024-06-22,"A",2,2024-06-25,"A",2
"54",7298,"1038",1,1038,2024-06-05,"A",2,2025-03-22,"A",2
"55",7432,"1065",1,1065,2024-07-15,"B",1,2025-04-01,"B",1
"56",7499,"1016",1,1016,2024-05-27,"B",1,2024-11-23,"B",1
"57",7566,"1095",1,1095,2024-10-08,"B",2,2024-10-08,"B",1
"58",7633,"1023",1,1023,2024-06-24,"A",1,2024-06-28,"A",1
"59",7700,"1070",1,1070,2024-04-24,"A",2,2024-05-05,"B",2
